participant,age,education,form,sentence,order,visible,acceptable,correctable,additional,add_inf,acceptable_inf
P169,50,высшее,Last2,24,2,1,1,1,0,,1
P169,50,высшее,Last2,7,3,1,1,0,0,,большое
P169,50,высшее,Last2,14,4,1,0,0,0,снижению,0
P169,50,высшее,Last2,22,5,1,1,1,0,,1
P169,50,высшее,Last2,16,6,1,1,1,0,,1
P169,50,высшее,Last2,21,7,1,1,1,0,,1
P170,22,неполное высшее,Last2,18,1,0,0,0,1,постройки - их,0
P170,22,неполное высшее,Last2,24,2,1,1,0,1,различными - разными,было замечено
P170,22,неполное высшее,Last2,7,3,1,1,0,0,,большое
P170,22,неполное высшее,Last2,14,4,0,0,0,0,,0
P170,22,неполное высшее,Last2,22,5,0,0,0,0,,0
P170,22,неполное высшее,Last2,16,6,0,0,0,0,,0
P170,22,неполное высшее,Last2,21,7,1,1,1,0,,1
P171,22,высшее,Last2,18,1,0,0,0,0,,0
P171,22,высшее,Last2,24,2,1,1,1,0,,1
P171,22,высшее,Last2,7,3,0,0,0,0,,0
P171,22,высшее,Last2,14,4,1,0,0,0,ухудшению,0
P171,22,высшее,Last2,22,5,1,1,1,0,,1
P171,22,высшее,Last2,16,6,1,1,1,0,,1
P171,22,высшее,Last2,21,7,1,1,1,0,,1
P172,20,неполное высшее,Last2,18,1,0,0,0,1,поменял структуру предложения,0
P172,20,неполное высшее,Last2,24,2,0,0,0,0,,0
P172,20,неполное высшее,Last2,7,3,0,0,0,0,,0
P172,20,неполное высшее,Last2,14,4,1,1,0,0,,стагнации
P172,20,неполное высшее,Last2,22,5,1,0,0,0,более жестокие,0
P172,20,неполное высшее,Last2,16,6,1,1,0,0,,имеют
P172,20,неполное высшее,Last2,21,7,1,1,1,0,,1
P173,21,неполное высшее,Last2,18,1,0,0,0,0,,0
P173,21,неполное высшее,Last2,24,2,1,1,1,0,,1
P173,21,неполное высшее,Last2,7,3,1,1,0,0,,большое
P173,21,неполное высшее,Last2,14,4,1,0,0,0,снижению,0
P173,21,неполное высшее,Last2,22,5,0,0,0,0,,0
P173,21,неполное высшее,Last2,16,6,1,1,1,0,,1
P173,21,неполное высшее,Last2,21,7,1,1,1,0,,1
P174,21,неполное высшее,Last2,18,1,0,0,0,0,,0
P174,21,неполное высшее,Last2,24,2,1,1,1,0,,1
P174,21,неполное высшее,Last2,7,3,1,1,0,0,,большое
P174,21,неполное высшее,Last2,14,4,1,1,0,0,,понижению уровня
P174,21,неполное высшее,Last2,22,5,0,0,0,0,,0
P174,21,неполное высшее,Last2,16,6,1,1,1,0,,1
P174,21,неполное высшее,Last2,21,7,1,1,1,0,,1
P175,23,высшее,Last2,18,1,0,0,0,0,,0
P175,23,высшее,Last2,24,2,1,0,0,1,WO; как раз - именно,0
P175,23,высшее,Last2,7,3,1,1,0,1,WO,большое
P175,23,высшее,Last2,14,4,1,1,0,0,,деградации
P175,23,высшее,Last2,22,5,1,0,0,1,приняло - принимало; более жестокие,0
P175,23,высшее,Last2,16,6,1,0,0,1,поменял структуру предложения,0
P175,23,высшее,Last2,21,7,1,1,1,1,исправил пунктуацию,1
P176,22,высшее,Last2,18,1,1,1,1,1,постройки - здания; ' ' - для жизни,1
P176,22,высшее,Last2,24,2,1,1,0,0,,было сказано
P176,22,высшее,Last2,7,3,1,1,0,1,поменял структуру предложения,очень хотела
P176,22,высшее,Last2,14,4,1,1,1,0,,1
P176,22,высшее,Last2,22,5,1,1,1,0,,1
P176,22,высшее,Last2,16,6,1,1,1,0,,1
P176,22,высшее,Last2,21,7,1,1,1,0,,1
P177,20,неполное высшее,Last2,18,1,0,0,0,1,сделает - делает,0
P177,20,неполное высшее,Last2,24,2,0,0,0,0,,0
P177,20,неполное высшее,Last2,7,3,1,1,0,0,,большое
P177,20,неполное высшее,Last2,14,4,1,0,0,0,снижению,0
P177,20,неполное высшее,Last2,22,5,1,1,1,0,,1
P177,20,неполное высшее,Last2,16,6,1,1,1,0,,1
P177,20,неполное высшее,Last2,21,7,0,0,0,0,,0
P178,50,высшее,Last2,18,1,0,0,0,1,поменял структуру предложения,0
P178,50,высшее,Last2,24,2,1,1,1,1, ' - как раз и,1
P178,50,высшее,Last2,7,3,1,1,0,0,,большое
P178,50,высшее,Last2,14,4,1,1,0,0,,падению
P178,50,высшее,Last2,22,5,1,1,1,0,,1
P178,50,высшее,Last2,16,6,1,1,0,0,,
P178,50,высшее,Last2,21,7,1,1,1,0,,1
P179,22,неполное высшее,Last2,18,1,0,0,0,1,что  - потому что это,0
P179,22,неполное высшее,Last2,24,2,1,1,1,0,,1
P179,22,неполное высшее,Last2,7,3,1,1,0,0,,большое
P179,22,неполное высшее,Last2,14,4,1,0,0,0,снижению,0
P179,22,неполное высшее,Last2,22,5,1,1,1,0,,1
P179,22,неполное высшее,Last2,16,6,1,1,1,0,,1
P179,22,неполное высшее,Last2,21,7,1,1,1,0,,1
P180,21,неполное высшее,Last2,18,1,0,0,0,1,поменял структуру предложения; что - это,0
P180,21,неполное высшее,Last2,24,2,1,1,0,0,,упоминалось
P180,21,неполное высшее,Last2,7,3,1,1,1,0,,1
P180,21,неполное высшее,Last2,14,4,1,0,0,0,снижению,0
P180,21,неполное высшее,Last2,22,5,1,1,1,0,,1
P180,21,неполное высшее,Last2,16,6,1,1,1,0,,1
P180,21,неполное высшее,Last2,21,7,1,1,1,0,,1
P181,22,неполное высшее,Last2,18,1,0,0,0,1,поменял структуру предложения,0
P181,22,неполное высшее,Last2,24,2,1,1,1,0,,1
P181,22,неполное высшее,Last2,7,3,1,1,0,0,,большое
P181,22,неполное высшее,Last2,14,4,1,1,0,0,,регрессу
P181,22,неполное высшее,Last2,22,5,1,1,1,0,,1
P181,22,неполное высшее,Last2,16,6,1,1,0,1,поменял структуру предложения,как влияют на
P181,22,неполное высшее,Last2,21,7,1,1,1,0,,1
P182,25,среднее,Last3,20,1,0,0,0,0,,0
P182,25,среднее,Last3,29,2,0,0,0,0,,0
P182,25,среднее,Last3,15,3,0,0,0,1,чистой - ' ',0
P182,25,среднее,Last3,19,4,1,1,1,0,,1
P182,25,среднее,Last3,25,5,0,0,0,0,,0
P182,25,среднее,Last3,31,6,0,0,0,0,,0
P182,25,среднее,Last3,13,7,0,0,0,0,исправил пунктуацию,0
P183,60,высшее,Last3,20,1,0,0,0,0,,0
P183,60,высшее,Last3,29,2,1,1,1,0,,1
P183,60,высшее,Last3,15,3,1,0,0,0,ухудшается,0
P183,60,высшее,Last3,19,4,1,1,1,0,,1
P183,60,высшее,Last3,25,5,1,1,1,0,,1
P183,60,высшее,Last3,31,6,1,1,1,0,,1
P183,60,высшее,Last3,13,7,1,0,0,0,,0
P184,19,неполное высшее,Last3,20,1,0,0,0,0,,0
P184,19,неполное высшее,Last3,29,2,1,0,0,0,,0
P184,19,неполное высшее,Last3,15,3,0,0,0,0,,0
P184,19,неполное высшее,Last3,19,4,0,0,0,0,,0
P184,19,неполное высшее,Last3,25,5,1,1,1,0,,1
P184,19,неполное высшее,Last3,31,6,1,1,1,0,,1
P184,19,неполное высшее,Last3,13,7,0,0,0,0,,0
P185,21,неполное высшее,Last3,20,1,1,1,0,0,,настоящего
P185,21,неполное высшее,Last3,29,2,0,0,0,0,,0
P185,21,неполное высшее,Last3,15,3,1,1,0,1,поменял словосочетание,сильно ухудшается
P185,21,неполное высшее,Last3,19,4,0,0,0,0,,0
P185,21,неполное высшее,Last3,25,5,0,0,0,0,,0
P185,21,неполное высшее,Last3,31,6,1,1,1,0,,1
P185,21,неполное высшее,Last3,13,7,1,1,1,0,,1
P186,20,неполное высшее,Last3,20,1,1,1,1,0,,1
P186,20,неполное высшее,Last3,29,2,1,1,0,1,непосредственной - неотъемлемой,человека
P186,20,неполное высшее,Last3,15,3,1,1,0,1,поменял словосочетание,сильно ухудшается
P186,20,неполное высшее,Last3,19,4,1,1,1,0,,1
P186,20,неполное высшее,Last3,25,5,1,1,1,0,,1
P186,20,неполное высшее,Last3,31,6,1,1,1,0,,1
P186,20,неполное высшее,Last3,13,7,1,1,1,0,,1
P187,21,неполное высшее,Last3,20,1,1,0,0,0,,0
P187,21,неполное высшее,Last3,29,2,1,1,0,0,,человека
P187,21,неполное высшее,Last3,15,3,1,1,1,0,,1
P187,21,неполное высшее,Last3,19,4,1,1,1,0,,1
P187,21,неполное высшее,Last3,25,5,1,1,1,0,,1
P187,21,неполное высшее,Last3,31,6,1,1,1,0,,1
P187,21,неполное высшее,Last3,13,7,1,1,1,0,,1
P188,25,высшее,Last3,20,1,1,1,1,0,,1
P188,25,высшее,Last3,29,2,0,0,0,1,является непосредственной чертой - важная особенность,0
P188,25,высшее,Last3,15,3,1,1,0,1,поменял словосочетание,сильно снизилось
P188,25,высшее,Last3,19,4,1,1,1,0,,1
P188,25,высшее,Last3,25,5,1,1,1,0,,1
P188,25,высшее,Last3,31,6,1,1,1,0,,1
P188,25,высшее,Last3,13,7,0,0,0,1,первых же недовольствах - Sg,0
P189,21,неполное высшее,Last3,20,1,0,0,0,0,,0
P189,21,неполное высшее,Last3,29,2,1,1,1,0,,1
P189,21,неполное высшее,Last3,15,3,1,1,1,0,,1
P189,21,неполное высшее,Last3,19,4,1,1,1,0,,1
P189,21,неполное высшее,Last3,25,5,1,1,1,0,,1
P189,21,неполное высшее,Last3,31,6,1,1,1,0,,1
P189,21,неполное высшее,Last3,13,7,1,0,0,0,,0
P190,26,высшее,Last3,20,1,1,1,0,0,,настоящего
P190,26,высшее,Last3,29,2,1,1,0,0,,человеческие 
P190,26,высшее,Last3,15,3,1,1,0,0,,сильно
P190,26,высшее,Last3,19,4,1,1,1,0,,1
P190,26,высшее,Last3,25,5,1,1,1,0,,1
P190,26,высшее,Last3,31,6,1,1,1,0,,1
P190,26,высшее,Last3,13,7,1,1,1,0,,1
P191,50,высшее,Last3,20,1,1,1,1,0,,1
P191,50,высшее,Last3,29,2,1,1,0,1,любовь - страсть; непосредственной - неотъемлемой,человека
P191,50,высшее,Last3,15,3,1,1,0,1,поменял словосочетание,существенно снижается
P191,50,высшее,Last3,19,4,1,1,1,1,сказал - сообщил,1
P191,50,высшее,Last3,25,5,1,1,1,0,,1
P191,50,высшее,Last3,31,6,1,1,1,1,остановить - замедления; вернуть - сохранения,1
P191,50,высшее,Last3,13,7,1,1,1,1, ' - признаках; останавливалось - прекращалось,1
P192,21,неполное высшее,Last3,20,1,0,0,0,0,,0
P192,21,неполное высшее,Last3,29,2,0,0,0,0,,0
P192,21,неполное высшее,Last3,15,3,0,0,0,0,,0
P192,21,неполное высшее,Last3,19,4,0,0,0,0,,0
P192,21,неполное высшее,Last3,25,5,1,1,1,0,,1
P192,21,неполное высшее,Last3,31,6,1,1,1,0,,1
P192,21,неполное высшее,Last3,13,7,1,1,1,0,,1
P193,22,неполное высшее,Last3,20,1,0,0,0,1,и - ' ' ,0
P193,22,неполное высшее,Last3,29,2,0,0,0,0,,0
P193,22,неполное высшее,Last3,15,3,1,1,1,1,поменял словосочетание; уменьшается - снижается,1
P193,22,неполное высшее,Last3,19,4,0,0,0,0,,0
P193,22,неполное высшее,Last3,25,5,1,1,1,1,студенческий  - ' ',1
P193,22,неполное высшее,Last3,31,6,0,0,0,0,,0
P193,22,неполное высшее,Last3,13,7,1,1,1,0,,1
P194,20,неполное высшее,Last3,20,1,0,0,0,0,,0
P194,20,неполное высшее,Last3,29,2,1,0,0,0,,0
P194,20,неполное высшее,Last3,15,3,1,1,0,1,поменял словосочетание,стремительно ухудшается
P194,20,неполное высшее,Last3,19,4,1,1,1,0,,1
P194,20,неполное высшее,Last3,25,5,1,1,1,0,,1
P194,20,неполное высшее,Last3,31,6,1,1,1,0,,1
P194,20,неполное высшее,Last3,13,7,1,1,1,0,,1
P195,25,высшее,Last3,20,1,0,0,0,1,теории - теорию,0
P195,25,высшее,Last3,29,2,1,0,0,0,,0
P195,25,высшее,Last3,15,3,0,0,0,0,,0
P195,25,высшее,Last3,19,4,0,0,0,0,,0
P195,25,высшее,Last3,25,5,1,1,1,0,,1
P195,25,высшее,Last3,31,6,0,0,0,0,,0
P195,25,высшее,Last3,13,7,0,0,0,0,,0
P196,26,среднее,Last3,20,1,1,1,0,0,,настоящего
P196,26,среднее,Last3,29,2,1,1,0,1,непосредственной - определяющей,равные
P196,26,среднее,Last3,15,3,1,1,0,1,поменял словосочетание,сильно ухудшается
P196,26,среднее,Last3,19,4,1,1,1,1,намерения - намерений,1
P196,26,среднее,Last3,25,5,1,1,1,1,студенческий - молодёжный,1
P196,26,среднее,Last3,31,6,1,1,1,0,,1
P196,26,среднее,Last3,13,7,1,0,0,1,убиралось - откладывалось,0
P197,60,высшее,Last3,20,1,1,1,0,0,,настоящего
P197,60,высшее,Last3,29,2,1,1,0,0,,человека
P197,60,высшее,Last3,15,3,1,1,1,0,,1
P197,60,высшее,Last3,19,4,1,1,1,0,,1
P197,60,высшее,Last3,25,5,1,1,1,0,,1
P197,60,высшее,Last3,31,6,1,1,1,0,,1
P197,60,высшее,Last3,13,7,1,0,0,0,,0
P198,59,высшее,Last3,20,1,1,1,0,0,,настоящего
P198,59,высшее,Last3,29,2,1,1,1,0,,1
P198,59,высшее,Last3,15,3,0,0,0,1,уменьшается - ухудшается,0
P198,59,высшее,Last3,19,4,1,1,1,0,,1
P198,59,высшее,Last3,25,5,1,1,1,0,,1
P198,59,высшее,Last3,31,6,1,1,1,0,,1
P198,59,высшее,Last3,13,7,1,0,0,0,,0
P199,20,неполное высшее,Last3,20,1,1,1,0,0,,настоящего
P199,20,неполное высшее,Last3,29,2,0,0,0,1,непосредственной - неотъемлемой,0
P199,20,неполное высшее,Last3,15,3,1,1,0,0,,стремительно
P199,20,неполное высшее,Last3,19,4,1,1,1,0,,1
P199,20,неполное высшее,Last3,25,5,1,1,1,0,,1
P199,20,неполное высшее,Last3,31,6,1,1,1,1,процесс - ' ' ,1
P199,20,неполное высшее,Last3,13,7,0,0,0,1, ' - признаках,0
P200,20,неполное высшее,Last3,20,1,1,1,0,0,,настоящего
P200,20,неполное высшее,Last3,29,2,0,0,0,1,непосредственной - неотъемлемой; ' ' - непосредственно,0
P200,20,неполное высшее,Last3,15,3,1,0,0,1,грандиозно - грандиозными темпами,0
P200,20,неполное высшее,Last3,19,4,1,1,1,0,,1
P200,20,неполное высшее,Last3,25,5,1,1,1,0,,1
P200,20,неполное высшее,Last3,31,6,1,1,1,0,,1
P200,20,неполное высшее,Last3,13,7,0,0,0,1,убиралось - откладывалось,0
P201,45,высшее,Last3,20,1,1,1,1,1,WO,1
P201,45,высшее,Last3,29,2,1,1,0,1,непосредственной - неотъемлемой,человека
P201,45,высшее,Last3,15,3,1,1,0,0,,стремительно
P201,45,высшее,Last3,19,4,1,1,1,0,,1
P201,45,высшее,Last3,25,5,1,1,1,0,,1
P201,45,высшее,Last3,31,6,1,1,1,0,,1
P201,45,высшее,Last3,13,7,1,1,1,0,,1
P202,22,неполное высшее,Last3,20,1,1,1,0,0,,настоящего
P202,22,неполное высшее,Last3,29,2,1,1,0,0,,людей
P202,22,неполное высшее,Last3,15,3,1,1,0,0,,сильно
P202,22,неполное высшее,Last3,19,4,1,1,1,0,,1
P202,22,неполное высшее,Last3,25,5,1,1,0,0,,высказать
P202,22,неполное высшее,Last3,31,6,1,1,1,0,,1
P202,22,неполное высшее,Last3,13,7,1,0,0,0,,0
P203,21,неполное высшее,Last3,20,1,0,0,0,0,,0
P203,21,неполное высшее,Last3,29,2,1,1,1,0,,1
P203,21,неполное высшее,Last3,15,3,1,0,0,0,,0
P203,21,неполное высшее,Last3,19,4,1,1,1,0,,1
P203,21,неполное высшее,Last3,25,5,1,1,1,0,,1
P203,21,неполное высшее,Last3,31,6,1,1,1,0,,1
P203,21,неполное высшее,Last3,13,7,1,1,1,0,,1
P204,20,неполное высшее,Last3,20,1,0,0,0,0,,0
P204,20,неполное высшее,Last3,29,2,1,1,0,0,,человеческие
P204,20,неполное высшее,Last3,15,3,1,1,0,0,,сильно
P204,20,неполное высшее,Last3,19,4,0,0,0,0,,0
P204,20,неполное высшее,Last3,25,5,1,1,1,0,,1
P204,20,неполное высшее,Last3,31,6,1,1,1,0,,1
P204,20,неполное высшее,Last3,13,7,1,1,1,0,,1
P205,21,неполное высшее,Last3,20,1,1,1,0,0,,настоящего
P205,21,неполное высшее,Last3,29,2,1,1,0,0,,человека
P205,21,неполное высшее,Last3,15,3,1,1,0,0,,существенно
P205,21,неполное высшее,Last3,19,4,1,1,1,0,,1
P205,21,неполное высшее,Last3,25,5,1,1,1,0,,1
P205,21,неполное высшее,Last3,31,6,1,1,1,0,,1
P205,21,неполное высшее,Last3,13,7,1,1,1,1, ' - проявлениях; сословия - сословием,1
P206,31,высшее,Last3,20,1,0,0,0,0,,0
P206,31,высшее,Last3,29,2,1,1,1,0,,1
P206,31,высшее,Last3,15,3,0,0,0,1,уменьшается - ухудшается,0
P206,31,высшее,Last3,19,4,0,0,0,0,,0
P206,31,высшее,Last3,25,5,0,0,0,1,свое - их,0
P206,31,высшее,Last3,31,6,1,1,1,0,,1
P206,31,высшее,Last3,13,7,1,0,0,0,,0
P207,21,неполное высшее,Last3,20,1,0,0,0,0,,0
P207,21,неполное высшее,Last3,29,2,1,1,1,0,,1
P207,21,неполное высшее,Last3,15,3,0,0,0,1,уменьшается - снижается,0
P207,21,неполное высшее,Last3,19,4,0,0,0,0,,0
P207,21,неполное высшее,Last3,25,5,1,1,1,0,,1
P207,21,неполное высшее,Last3,31,6,1,1,1,0,,1
P207,21,неполное высшее,Last3,13,7,1,0,0,0,,0
P208,22,неполное высшее,Last3,20,1,1,1,1,0,,1
P208,22,неполное высшее,Last3,29,2,1,0,0,0,,0
P208,22,неполное высшее,Last3,15,3,1,1,1,0,,1
P208,22,неполное высшее,Last3,19,4,0,0,0,0,,0
P208,22,неполное высшее,Last3,25,5,0,0,0,0,,0
P208,22,неполное высшее,Last3,31,6,1,1,1,0,,1
P208,22,неполное высшее,Last3,13,7,1,1,1,0,,1
P209,19,неполное высшее,Last4,23,1,1,1,1,0,,1
P209,19,неполное высшее,Last4,26,2,1,0,0,1,проблемы - отклонения,0
P209,19,неполное высшее,Last4,27,3,1,1,1,0,,1
P209,19,неполное высшее,Last4,28,4,1,1,1,0,,1
P209,19,неполное высшее,Last4,30,5,1,1,1,0,,1
P209,19,неполное высшее,Last4,32,6,1,1,1,0,,1
P209,19,неполное высшее,Last4,17,7,0,0,0,0,,0
P210,25,среднее,Last4,23,1,0,0,0,0,,0
P210,25,среднее,Last4,26,2,0,0,0,0,,0
P210,25,среднее,Last4,27,3,0,0,0,1,эти - новые,0
P210,25,среднее,Last4,28,4,0,0,0,1,исправил пунктуацию,0
P210,25,среднее,Last4,30,5,0,0,0,1,но - ' ',0
P210,25,среднее,Last4,32,6,0,0,0,0,,0
P210,25,среднее,Last4,17,7,0,0,0,0,,0
P211,60,высшее,Last4,23,1,1,1,0,0,,выгодную
P211,60,высшее,Last4,26,2,1,1,1,0,,1
P211,60,высшее,Last4,27,3,1,1,0,1,транспорта - транспортировки,методы транспортировки
P211,60,высшее,Last4,28,4,0,0,0,0,,0
P211,60,высшее,Last4,30,5,1,1,1,0,,1
P211,60,высшее,Last4,32,6,1,1,1,0,,1
P211,60,высшее,Last4,17,7,1,1,1,0,,1
P212,22,высшее,Last4,23,1,1,1,0,0,,сильную
P212,22,высшее,Last4,26,2,1,1,1,0,,1
P212,22,высшее,Last4,27,3,1,1,1,0,,1
P212,22,высшее,Last4,28,4,1,1,1,0,,1
P212,22,высшее,Last4,30,5,1,1,0,0,,возрастут
P212,22,высшее,Last4,32,6,1,1,1,0,,1
P212,22,высшее,Last4,17,7,1,1,1,0,,1
P213,19,неполное высшее,Last4,23,1,1,1,0,1,национальными предприятиями - государственными компаниями; позицию - положение,привилегированное положение
P213,19,неполное высшее,Last4,26,2,0,0,0,0,,0
P213,19,неполное высшее,Last4,27,3,1,1,1,1,0,1
P213,19,неполное высшее,Last4,28,4,0,0,0,0,,0
P213,19,неполное высшее,Last4,30,5,1,1,0,1,шансы - шанс,будут
P213,19,неполное высшее,Last4,32,6,1,1,1,0,,1
P213,19,неполное высшее,Last4,17,7,1,1,1,0,,1
P214,24,высшее,Last4,23,1,1,1,0,1,позицию - положение,выгодное положение
P214,24,высшее,Last4,26,2,1,1,1,0,,1
P214,24,высшее,Last4,27,3,1,1,1,0,,1
P214,24,высшее,Last4,28,4,1,1,1,0,,1
P214,24,высшее,Last4,30,5,1,1,1,1,шансы - шанс,1
P214,24,высшее,Last4,32,6,1,1,1,0,,1
P214,24,высшее,Last4,17,7,1,1,1,0,,1
P215,20,неполное высшее,Last4,23,1,1,1,1,1,обретают - приобретают,1
P215,20,неполное высшее,Last4,26,2,1,1,0,0,,с психикой
P215,20,неполное высшее,Last4,27,3,1,1,0,1,поменял словосочетание,транспортные средства
P215,20,неполное высшее,Last4,28,4,1,1,1,0,,1
P215,20,неполное высшее,Last4,30,5,1,1,0,1,шансы - шанс; зная - понимая,представится
P215,20,неполное высшее,Last4,32,6,1,1,1,0,,1
P215,20,неполное высшее,Last4,17,7,1,1,0,0,,выбросы
P216,21,неполное высшее,Last4,23,1,1,1,0,0,,сильную
P216,21,неполное высшее,Last4,26,2,0,0,0,0,,0
P216,21,неполное высшее,Last4,27,3,1,1,1,1,лучше - безопаснее,1
P216,21,неполное высшее,Last4,28,4,0,0,0,0,,0
P216,21,неполное высшее,Last4,30,5,1,1,1,1,шансы - шанс,1
P216,21,неполное высшее,Last4,32,6,1,1,1,0,,1
P216,21,неполное высшее,Last4,17,7,1,1,0,0,,выбросы
P217,50,высшее,Last4,23,1,1,1,0,1,обретают - приобретают; поменял словосочетание,преимущественное положение
P217,50,высшее,Last4,26,2,1,1,1,0,,1
P217,50,высшее,Last4,27,3,1,1,1,1,лучше - предпочтительнее,1
P217,50,высшее,Last4,28,4,1,1,1,0,,1
P217,50,высшее,Last4,30,5,1,0,0,1,поменял структуру предложения,0
P217,50,высшее,Last4,32,6,1,1,1,0,,1
P217,50,высшее,Last4,17,7,0,0,0,0,,0
P218,21,неполное высшее,Last4,23,1,0,0,0,0,,0
P218,21,неполное высшее,Last4,26,2,0,0,0,0,,0
P218,21,неполное высшее,Last4,27,3,1,1,0,1,лучше - лучшими,методы транспортировки
P218,21,неполное высшее,Last4,28,4,0,0,0,0,,0
P218,21,неполное высшее,Last4,30,5,1,1,0,0,,выпадут
P218,21,неполное высшее,Last4,32,6,1,1,0,0,,стих
P218,21,неполное высшее,Last4,17,7,1,1,0,0,,выбросы
P219,22,неполное высшее,Last4,23,1,1,1,0,1,больше власти - большую власть,доминирующую
P219,22,неполное высшее,Last4,26,2,1,1,0,0,,с психикой
P219,22,неполное высшее,Last4,27,3,0,0,0,1,лучше - лучшими,0
P219,22,неполное высшее,Last4,28,4,1,1,1,0,,1
P219,22,неполное высшее,Last4,30,5,1,1,0,0,,будут
P219,22,неполное высшее,Last4,32,6,1,0,0,0,,0
P219,22,неполное высшее,Last4,17,7,1,1,0,0,,выбросы
P220,60,высшее,Last4,23,1,1,1,0,0,,выгодную
P220,60,высшее,Last4,26,2,1,1,1,0,,1
P220,60,высшее,Last4,27,3,1,1,1,0,,1
P220,60,высшее,Last4,28,4,1,1,1,0,,1
P220,60,высшее,Last4,30,5,1,1,0,1,шансы - шанс,выпадут
P220,60,высшее,Last4,32,6,1,1,1,0,,1
P220,60,высшее,Last4,17,7,1,1,1,0,,1
P221,59,высшее,Last4,23,1,1,1,0,0,,выгодную
P221,59,высшее,Last4,26,2,1,1,1,0,,1
P221,59,высшее,Last4,27,3,1,1,1,0,,1
P221,59,высшее,Last4,28,4,1,1,1,0,,1
P221,59,высшее,Last4,30,5,1,1,1,0,,1
P221,59,высшее,Last4,32,6,1,1,1,0,,1
P221,59,высшее,Last4,17,7,1,1,1,0,,1
P222,20,неполное высшее,Last4,23,1,1,1,0,0,,выгодную
P222,20,неполное высшее,Last4,26,2,1,1,1,0,,1
P222,20,неполное высшее,Last4,27,3,1,1,0,1,поменял словосочетание,транспортные средства
P222,20,неполное высшее,Last4,28,4,1,1,1,0,,1
P222,20,неполное высшее,Last4,30,5,1,1,1,0,,1
P222,20,неполное высшее,Last4,32,6,1,1,1,0,,1
P222,20,неполное высшее,Last4,17,7,1,1,0,0,,выбросы
P223,21,неполное высшее,Last4,23,1,1,0,0,0,,0
P223,21,неполное высшее,Last4,26,2,1,1,1,0,,1
P223,21,неполное высшее,Last4,27,3,0,0,0,0,,0
P223,21,неполное высшее,Last4,28,4,1,1,1,0,,1
P223,21,неполное высшее,Last4,30,5,1,1,1,1,шансы - шанс,1
P223,21,неполное высшее,Last4,32,6,1,1,1,0,,1
P223,21,неполное высшее,Last4,17,7,1,1,0,0,,выбросы
P224,21,неполное высшее,Last4,23,1,1,1,0,0,,хорошую
P224,21,неполное высшее,Last4,26,2,0,0,0,0,,0
P224,21,неполное высшее,Last4,27,3,1,1,1,0,,1
P224,21,неполное высшее,Last4,28,4,0,0,0,0,,0
P224,21,неполное высшее,Last4,30,5,1,1,1,1,шансы - шанс,1
P224,21,неполное высшее,Last4,32,6,1,1,1,0,,1
P224,21,неполное высшее,Last4,17,7,1,1,1,0,,1
P225,21,неполное высшее,Last4,23,1,1,1,0,0,,доминирующую
P225,21,неполное высшее,Last4,26,2,0,0,0,0,,0
P225,21,неполное высшее,Last4,27,3,1,1,1,0,,1
P225,21,неполное высшее,Last4,28,4,1,1,1,0,,1
P225,21,неполное высшее,Last4,30,5,1,1,1,1,шансы - шанс,1
P225,21,неполное высшее,Last4,32,6,1,1,1,0,,1
P225,21,неполное высшее,Last4,17,7,1,1,1,0,,1
P226,21,неполное высшее,Last4,23,1,0,0,0,0,,0
P226,21,неполное высшее,Last4,26,2,1,1,1,0,,1
P226,21,неполное высшее,Last4,27,3,1,1,1,0,,1
P226,21,неполное высшее,Last4,28,4,0,0,0,0,,0
P226,21,неполное высшее,Last4,30,5,1,1,1,0,,1
P226,21,неполное высшее,Last4,32,6,1,1,1,0,,1
P226,21,неполное высшее,Last4,17,7,0,0,0,0,,0
P227,21,неполное высшее,Last4,23,1,1,0,0,0,,0
P227,21,неполное высшее,Last4,26,2,1,1,1,0,,1
P227,21,неполное высшее,Last4,27,3,1,0,0,0,,0
P227,21,неполное высшее,Last4,28,4,0,0,0,1,WO,0
P227,21,неполное высшее,Last4,30,5,1,1,0,0,,будут
P227,21,неполное высшее,Last4,32,6,1,1,1,0,,1
P227,21,неполное высшее,Last4,17,7,1,1,0,0,,выбросы
P228,20,неполное высшее,Last4,23,1,1,1,0,1, ' - более,выгодную
P228,20,неполное высшее,Last4,26,2,1,1,1,0,,1
P228,20,неполное высшее,Last4,27,3,1,1,0,0,,методы транспортировки
P228,20,неполное высшее,Last4,28,4,0,0,0,1,ее гладить - заниматься глажкой,0
P228,20,неполное высшее,Last4,30,5,1,1,1,0,,1
P228,20,неполное высшее,Last4,32,6,1,1,1,0,,1
P228,20,неполное высшее,Last4,17,7,0,0,0,0,,0
P229,21,высшее,Last4,23,1,0,0,0,1,их - эти корпорации,0
P229,21,высшее,Last4,26,2,0,0,0,0,,0
P229,21,высшее,Last4,27,3,1,1,1,0,,1
P229,21,высшее,Last4,28,4,1,1,1,0,,1
P229,21,высшее,Last4,30,5,1,1,0,0,,будут
P229,21,высшее,Last4,32,6,1,1,1,0,,1
P229,21,высшее,Last4,17,7,1,1,0,0,,выбросы
P230,20,неполное высшее,Last4,23,1,0,0,0,0,,0
P230,20,неполное высшее,Last4,26,2,1,1,1,0,,1
P230,20,неполное высшее,Last4,27,3,1,1,0,1,поменял словосочетание,транспортные средства
P230,20,неполное высшее,Last4,28,4,1,1,1,0,,1
P230,20,неполное высшее,Last4,30,5,1,0,0,0,,0
